linking_page,count_across_exports,source_files
https://www.sparkshark.com/electrical-panels/,5,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv"
https://www.sparkshark.com/electrical-repair-and-service/,5,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv"
https://www.sparkshark.com/generators/,5,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv"
https://www.sparkshark.com/indoor-lighting-installation/,5,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv"
https://www.sparkshark.com/industrial-electrical-solutions/,5,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv"
https://www.sparkshark.com/our-residential-electrical-services/,5,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv"
https://www.sparkshark.com/price/,2,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv"
https://www.sparkshark.com/privacy-policy/,5,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv"
https://www.sparkshark.com/residential-electrical-solutions/,5,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv"
https://www.sparkshark.com/reviews/,5,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv"
https://www.sparkshark.com/services/,5,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv"
https://www.sparkshark.com/services/emergency-electrician/,5,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv"
https://www.sparkshark.com/terms-and-condition/,5,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv"
