internal_linking_page,source_export_files,count_across_exports,contains_flanco,contains_2023_or_2024_blog_path,contains_old_archive_or_wp_path,notes
https://www.sparkshark.com/electrical-inspection-services/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",5,false,false,false,
https://www.sparkshark.com/electrical-installation/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",4,false,false,false,
https://www.sparkshark.com/electrical-panels/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",5,false,false,false,
https://www.sparkshark.com/electrical-repair-and-service/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",5,false,false,false,
https://www.sparkshark.com/generators/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",5,false,false,false,
https://www.sparkshark.com/indoor-lighting-installation/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",5,false,false,false,
https://www.sparkshark.com/industrial-electrical-solutions/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",5,false,false,false,
https://www.sparkshark.com/our-residential-electrical-services/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",5,false,false,false,
https://www.sparkshark.com/price/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv",2,false,false,false,Page only appears in 2 of 5 internal drilldowns — possibly removed/unlinked.
https://www.sparkshark.com/privacy-policy/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",5,false,false,false,
https://www.sparkshark.com/residential-electrical-solutions/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",5,false,false,false,
https://www.sparkshark.com/reviews/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",5,false,false,false,
https://www.sparkshark.com/services/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",5,false,false,false,
https://www.sparkshark.com/services/emergency-electrician/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",5,false,false,false,
https://www.sparkshark.com/terms-and-condition/,"https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (1).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (2).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (4).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10 (5).csv, https___www.sparkshark.com_-Your pages linking to this page-2026-05-10.csv",5,false,false,false,
